RandomForest,LogisticRegression,XGBoost,SVM,KNN,NaiveBayes,LightGBM,CatBoost,Voting
PSCA:0.0129,away_AF_last1:0.0722,PSCH:0.0556,home_HY_last10:0.0089,home_FTHG_last3:0.0057,away_AR_last1:0.0100,PSCH:0.0389,home_home_goal_conversion_last1:0.0188,VCCH:0.0146
MaxCH:0.0118,AHCh:0.0676,VCCH:0.0447,away_away_foul_to_card_ratio_last3:0.0076,Max_less2.5:0.0043,AwayTeam_Sheffield United:0.0057,MaxCH:0.0344,home_home_foul_to_card_ratio_last1:0.0173,PC_less2.5:0.0127
AvgA:0.0106,away_AR_last1:0.0607,MaxCH:0.0260,home_HS_last5:0.0049,VCCD:0.0027,HomeTeam_Brighton:0.0054,VCCH:0.0268,home_home_foul_to_card_ratio_last10:0.0172,away_away_foul_to_card_ratio_last3:0.0108
AvgCA:0.0106,PCAHA:0.0543,AvgCA:0.0142,home_HS_last10:0.0041,Avg_less2.5:0.0027,away_AR_last3:0.0051,away_away_goal_conversion_last5:0.0230,home_home_foul_to_card_ratio_last5:0.0170,PSCA:0.0106
B365CA:0.0103,away_away_foul_to_card_ratio_last3:0.0511,WHCH:0.0135,home_HR_last5:0.0024,home_HST_last3:0.0024,AwayTeam_Brighton:0.0049,away_away_foul_to_card_ratio_last3:0.0221,away_away_foul_to_card_ratio_last10:0.0155,home_home_goal_conversion_last5:0.0098
away_away_foul_to_card_ratio_last5:0.0102,AHh:0.0474,MaxH:0.0130,home_HC_last3:0.0024,B365D:0.0024,HomeTeam_Crystal Palace:0.0046,home_home_foul_to_card_ratio_last10:0.0196,home_HF_last10:0.0154,home_home_foul_to_card_ratio_last5:0.0095
AvgCH:0.0102,away_AC_last10:0.0445,HomeTeam_Bournemouth:0.0111,AHCh:0.0019,B365_less2.5:0.0024,B365>2.5:0.0043,away_away_st_ratio_last10:0.0149,away_AST_last1:0.0139,MaxCA:0.0087
MaxCA:0.0102,away_AC_last1:0.0428,WHH:0.0099,AwayTeam_West Ham:0.0014,home_HS_last3:0.0019,Max>2.5:0.0043,away_away_goal_conversion_last3:0.0145,home_HC_last10:0.0135,home_home_foul_to_card_ratio_last10:0.0087
VCH:0.0098,HomeTeam_Newcastle:0.0421,MaxCD:0.0098,away_AR_last5:0.0014,AwayTeam_Fulham:0.0016,Avg>2.5:0.0041,home_home_goal_conversion_last5:0.0144,home_home_goal_conversion_last5:0.0131,PSCH:0.0084
away_away_foul_to_card_ratio_last10:0.0096,HomeTeam_Tottenham:0.0414,B365D:0.0097,away_AY_last5:0.0011,WHD:0.0016,P>2.5:0.0041,home_home_st_ratio_last3:0.0142,away_away_foul_to_card_ratio_last1:0.0131,away_AF_last10:0.0079
home_home_goal_conversion_last5:0.0096,away_away_st_ratio_last10:0.0412,WHCA:0.0093,home_HF_last1:0.0008,away_away_goal_conversion_last1:0.0014,home_HST_last1:0.0041,away_away_foul_to_card_ratio_last5:0.0142,away_away_goal_conversion_last3:0.0129,home_HF_last3:0.0076
home_home_st_ratio_last5:0.0095,away_AF_last10:0.0397,AvgH:0.0089,away_away_foul_to_card_ratio_last1:0.0005,HomeTeam_Arsenal:0.0011,AwayTeam_Burnley:0.0035,away_away_foul_to_card_ratio_last10:0.0131,home_home_st_ratio_last1:0.0128,AvgCA:0.0073
MaxH:0.0092,away_AY_last3:0.0397,HomeTeam_Crystal Palace:0.0086,away_AY_last3:0.0005,P_less2.5:0.0011,WHCA:0.0035,away_away_st_ratio_last3:0.0131,B365AHA:0.0126,HomeTeam_Sheffield United:0.0073
away_away_st_ratio_last3:0.0091,MaxCAHH:0.0396,AwayTeam_Liverpool:0.0086,AvgAHA:0.0003,HomeTeam_Fulham:0.0008,PSCA:0.0035,away_AC_last10:0.0130,away_away_st_ratio_last5:0.0126,AvgAHA:0.0073
away_away_foul_to_card_ratio_last3:0.0091,away_away_foul_to_card_ratio_last5:0.0393,HomeTeam_Everton:0.0083,VCD:0.0003,B365CD:0.0008,AwayTeam_Bournemouth:0.0035,home_home_goal_diff_last5:0.0125,PAHH:0.0126,PAHH:0.0073
home_home_foul_to_card_ratio_last10:0.0090,home_HF_last10:0.0384,WHD:0.0080,B365D:0.0003,home_FTHG_last1:0.0008,away_away_st_ratio_last5:0.0033,home_home_st_ratio_last10:0.0125,away_away_st_ratio_last3:0.0126,home_home_st_ratio_last3:0.0070
away_away_goal_conversion_last5:0.0087,B365AHA:0.0363,AwayTeam_Leicester:0.0080,HomeTeam_Brighton:0.0003,AwayTeam_Burnley:0.0005,home_HS_last1:0.0030,away_away_st_ratio_last1:0.0125,away_AF_last1:0.0121,B365A:0.0070
home_home_st_ratio_last3:0.0087,away_away_st_ratio_last5:0.0361,Max>2.5:0.0074,AwayTeam_Arsenal:0.0003,HomeTeam_Newcastle:0.0005,home_HC_last3:0.0030,home_home_goal_diff_last10:0.0120,away_AF_last10:0.0118,away_away_foul_to_card_ratio_last5:0.0070
home_home_goal_conversion_last10:0.0085,home_HY_last3:0.0359,BWCA:0.0074,BWD:0.0003,HomeTeam_Aston Villa:0.0005,home_HC_last5:0.0030,home_home_goal_conversion_last10:0.0119,away_away_foul_to_card_ratio_last3:0.0118,B365CA:0.0070
PSCH:0.0083,BWH:0.0351,MaxCA:0.0070,away_AR_last3:0.0003,AwayTeam_Man United:0.0005,home_HS_last10:0.0030,home_home_st_ratio_last5:0.0117,home_home_goal_conversion_last3:0.0113,PSD:0.0068
