iter	Passed	Remaining
0	266	48454
1	381	34560
2	492	29557
3	608	27211
4	721	25669
5	831	24525
6	942	23686
7	1053	23045
8	1165	22536
9	1280	22154
10	1391	21764
11	1496	21327
12	1601	20948
13	1703	20564
14	1812	20294
15	1936	20209
16	2051	20031
17	2172	19914
18	2284	19718
19	2402	19577
20	2511	19376
21	2613	19124
22	2715	18893
23	2815	18654
24	2914	18422
25	3014	18205
26	3115	18003
27	3215	17801
28	3315	17606
29	3413	17411
30	3519	17257
31	3621	17087
32	3721	16915
33	3821	16746
34	3920	16577
35	4021	16422
36	4139	16335
37	4251	16224
38	4351	16066
39	4451	15914
40	4549	15756
41	4650	15613
42	4752	15473
43	4855	15337
44	4958	15205
45	5058	15065
46	5160	14932
47	5267	14815
48	5372	14692
49	5478	14573
50	5581	14445
51	5682	14316
52	5780	14178
53	5881	14049
54	5980	13917
55	6084	13799
56	6186	13676
57	6288	13551
58	6387	13424
59	6488	13301
60	6589	13178
61	6692	13062
62	6799	12950
63	6897	12824
64	6996	12700
65	7095	12577
66	7201	12468
67	7302	12350
68	7401	12228
69	7502	12111
70	7601	11990
71	7702	11874
72	7805	11761
73	7909	11650
74	8014	11540
75	8117	11428
76	8221	11317
77	8319	11199
78	8424	11090
79	8524	10975
80	8626	10863
81	8727	10750
82	8833	10643
83	8933	10528
84	9032	10414
85	9135	10303
86	9233	10189
87	9336	10079
88	9441	9972
89	9547	9865
90	9648	9754
91	9749	9643
92	9851	9534
93	9955	9426
94	10055	9314
95	10155	9203
96	10255	9092
97	10355	8982
98	10457	8872
99	10563	8767
100	10662	8656
101	10763	8547
102	10867	8441
103	10969	8332
104	11068	8222
105	11171	8115
106	11272	8006
107	11372	7897
108	11475	7790
109	11577	7683
110	11681	7576
111	11784	7470
112	11884	7362
113	11991	7257
114	12091	7149
115	12195	7043
116	12296	6936
117	12401	6831
118	12507	6726
119	12612	6621
120	12715	6515
121	12818	6409
122	12918	6301
123	13019	6194
124	13120	6087
125	13226	5983
126	13328	5877
127	13427	5769
128	13531	5664
129	13632	5557
130	13739	5453
131	13842	5348
132	13942	5241
133	14042	5134
134	14147	5030
135	14248	4924
136	14351	4818
137	14454	4713
138	14560	4609
139	14665	4504
140	14768	4399
141	14871	4293
142	14973	4188
143	15074	4082
144	15175	3977
145	15281	3872
146	15383	3767
147	15482	3661
148	15584	3556
149	15685	3450
150	15788	3345
151	15890	3240
152	15990	3135
153	16090	3030
154	16194	2925
155	16294	2820
156	16398	2715
157	16503	2611
158	16604	2506
159	16708	2401
160	16810	2297
161	16911	2192
162	17016	2087
163	17118	1983
164	17225	1879
165	17329	1774
166	17433	1670
167	17533	1565
168	17636	1461
169	17736	1356
170	17838	1251
171	17940	1147
172	18040	1042
173	18143	938
174	18245	834
175	18345	729
176	18444	625
177	18545	520
178	18651	416
179	18750	312
180	18848	208
181	18954	104
182	19056	0
